scrapedAt,sourceUpdated,audience,category,budget,available
2026-07-14T13:15:11.866Z,2026-07-14T14:47:24,idiotes,ochimata,39790300,370584.78
2026-07-14T13:15:11.866Z,2026-07-14T14:47:24,idiotes,podilata,2410000,92.74
2026-07-14T13:15:11.866Z,2026-07-14T14:47:24,epixiriseis,ochimata,23530000,343060.7
2026-07-14T13:15:11.866Z,2026-07-14T14:47:24,epixiriseis,podilata,269700,89.15
2026-07-14T19:01:44.388Z,2026-07-14T20:47:24,idiotes,ochimata,39790300,343970.77
2026-07-14T19:01:44.388Z,2026-07-14T20:47:24,idiotes,podilata,2410000,92.74
2026-07-14T19:01:44.388Z,2026-07-14T20:47:24,epixiriseis,ochimata,23530000,337855.86
2026-07-14T19:01:44.388Z,2026-07-14T20:47:24,epixiriseis,podilata,269700,89.15
2026-07-15T07:50:01.294Z,2026-07-15T10:47:24,idiotes,ochimata,45390000,5918625.72
2026-07-15T07:50:01.294Z,2026-07-15T10:47:24,idiotes,podilata,2610000,200092.74
2026-07-15T07:50:01.294Z,2026-07-15T10:47:24,epixiriseis,ochimata,27640000,4429955.86
2026-07-15T07:50:01.294Z,2026-07-15T10:47:24,epixiriseis,podilata,360000,90389.15
2026-07-15T18:54:47.000Z,2026-07-15T20:47:24,idiotes,ochimata,45390000,5886177.3
2026-07-15T18:54:47.000Z,2026-07-15T20:47:24,idiotes,podilata,2610000,185119.24
2026-07-15T18:54:47.000Z,2026-07-15T20:47:24,epixiriseis,ochimata,27640000,4409507.48
2026-07-15T18:54:47.000Z,2026-07-15T20:47:24,epixiriseis,podilata,360000,90389.15
